name,Control,CIP,FDR,AveExpr,P value,CTRL1,CTRL2,CIP1,CIP2,CTRL1 CPM,CTRL2 CPM,CIP1 CPM,CIP2 CPM
sulA,0,3.63416611540435,0.00000882581825425148,8.31592612801977,2.030546772404e-9,439,959,7243,7248,97.512,96.118,979.276,1121.573
cheZ,0,3.13637526678693,0.00000882581825425148,6.99928049012978,5.81563091777991e-9,217,443,2568,2321,48.201,44.401,347.202,359.157
cheB,0,2.87499471426173,0.00000882581825425148,6.42507040055902,1.81790845498075e-8,157,330,1656,1357,34.873,33.075,223.896,209.985
cheR,0,2.95005921860345,0.00000882581825425148,6.00824376809658,2.00131933202981e-8,112,245,1253,1064,24.878,24.556,169.410,164.646
tap,0,2.71721975609841,0.00000882581825425148,7.28415040381601,1.93334251488726e-8,319,602,2767,2378,70.857,60.337,374.107,367.978
cheA,0,2.87040124847438,0.00000882581825425148,7.95397146924898,1.17410756349951e-8,483,904,4701,3947,107.285,90.605,635.590,610.768
motB,0,2.58858446732344,0.00000882581825425148,7.15687185886461,1.75261026107332e-8,282,617,2434,2096,62.638,61.840,329.084,324.340
recN,0,3.50102681447833,0.00000882581825425148,7.7220922686998,1.32837561595976e-8,263,754,4979,4310,58.418,75.571,673.176,666.940
ygdI,0,-2.6903942850949,0.00000882581825425148,8.52775533198353,1.99432988392601e-8,4838,9358,948,927,1074.628,937.923,128.173,143.446
tsr,0,2.58918830085432,0.00000882581825425148,7.91026458682402,1.93651645549697e-8,475,1042,3870,3747,105.508,104.436,523.236,579.820
flgK,0,2.67873365186161,0.00000942900549719343,7.95324801761007,3.31044582110378e-8,521,957,4082,3973,115.726,95.917,551.899,614.792
yebG,0,2.39498813842877,0.00000942900549719343,7.31556997813595,2.88340215879869e-8,335,740,2555,2177,74.411,74.168,345.444,336.874
cheY,0,3.02095570790188,0.00000942900549719343,5.92862838934715,3.60028491803768e-8,99,234,1137,1113,21.990,23.453,153.726,172.228
fliC,0,2.75299150053296,0.00000942900549719343,12.4883992797856,3.44587831691828e-8,9904,25574,101104,91400,2199.899,2563.203,13669.576,14143.459
